identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé),réélu.e
721170,Stéphane,Vojetta,Français établis hors de France,Français établis hors de France,5,Entrepreneur,La République en Marche,LaREM,Oui
721270,Stéphane,Peu,Ile-de-France,Seine-Saint-Denis,2,Employé administratif,Gauche démocrate et républicaine,GDR,Oui
720162,Philippe,Bolo,Pays de la Loire,Maine-et-Loire,7,Ingénieur,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
712015,Julien,Dive,Hauts-de-France,Aisne,2,Chef de projet dans l'industrie,Les Républicains,LR,Oui
721134,Roland,Lescure,Français établis hors de France,Français établis hors de France,1,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
720900,Cécile,Rilhac,Ile-de-France,Val-d'Oise,3,Profession rattachée à l'enseignement,La République en Marche,LaREM,Oui
719382,Luc,Lamirault,Centre-Val de Loire,Eure-et-Loir,3,chef d'entreprise,Agir ensemble,Agir ens,Oui
342240,Jean-Luc,Bourgeaux,Bretagne,Ille-et-Vilaine,7,Agriculteur,Les Républicains,LR,Oui
721960,Danièle,Obono,Ile-de-France,Paris,17,Bibliothécaire,La France insoumise,FI,Oui
719578,Loïc,Prud'homme,Nouvelle-Aquitaine,Gironde,3,Fonctionnaire de catégorie B,La France insoumise,FI,Oui
721836,Jean-Noël,Barrot,Ile-de-France,Yvelines,2,Professeur de faculté,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
609590,Valérie,Rabault,Occitanie,Tarn-et-Garonne,1,Ingénieure,Socialistes et apparentés,SOC,Oui
643089,Jean-Louis,Thiériot,Ile-de-France,Seine-et-Marne,3,Avocat,Les Républicains,LR,Oui
642868,Paul,Christophe,Hauts-de-France,Nord,14,Fonctionnaire de catégorie A,Agir ensemble,Agir ens,Oui
605694,Olivier,Falorni,Nouvelle-Aquitaine,Charente-Maritime,1,Professeur du secondaire,Libertés et Territoires,LT,Oui
721498,Stanislas,Guerini,Ile-de-France,Paris,3,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
719100,Jean-Philippe,Ardouin,Nouvelle-Aquitaine,Charente-Maritime,3,Chef d'entreprise,La République en Marche,LaREM,Oui
333421,Bertrand,Pancher,Grand Est,Meuse,1,Directeur du développement,Libertés et Territoires,LT,Oui
721262,Guillaume,Vuilletet,Ile-de-France,Val-d'Oise,2,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
266797,Philippe,Gosselin,Normandie,Manche,1,Maître de conférences à Sciences Po,Les Républicains,LR,Oui
721158,Pieyre-Alexandre,Anglade,Français établis hors de France,Français établis hors de France,4,Agent contractuel au Parlement européen,La République en Marche,LaREM,Oui
606639,Patrick,Vignal,Occitanie,Hérault,9,Industriel-Chef d'entreprise,La République en Marche,LaREM,Oui
1008,Alain,David,Nouvelle-Aquitaine,Gironde,4,Ingénieur,Socialistes et apparentés,SOC,Oui
720668,Emmanuel,Blairy,Hauts-de-France,Pas-de-Calais,3,Fonctionnaire territorial,Non inscrit,NI,Oui
721442,Christelle,Petex-Levet,Auvergne-Rhône-Alpes,Haute-Savoie,3,,Les Républicains,LR,Oui
721984,Philippe,Latombe,Pays de la Loire,Vendée,1,Cadre supérieur (secteur privé),Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
2960,Éric,Woerth,Hauts-de-France,Oise,4,Associé dans un cabinet d'audit international,La République en Marche,LaREM,Oui
719472,Jean-René,Cazeneuve,Occitanie,Gers,1,Ingénieur,La République en Marche,LaREM,Oui
721608,Jean-Louis,Bourlanges,Ile-de-France,Hauts-de-Seine,12,Retraité de la fonction publique,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
720286,Caroline,Fiat,Grand Est,Meurthe-et-Moselle,6,Salariée du secteur médical,La France insoumise,FI,Oui
720190,Bertrand,Sorre,Normandie,Manche,2,Enseignant 1er degré-directeur d'école (en disponibilité),La République en Marche,LaREM,Oui
721150,Alexandre,Holroyd,Français établis hors de France,Français établis hors de France,3,Sans profession déclarée,La République en Marche,LaREM,Oui
718784,Éric,Pauget,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,7,Autre cadre (secteur privé),Les Républicains,LR,Oui
720932,Dominique,Da Silva,Ile-de-France,Val-d'Oise,7,Industriel-Chef d'entreprise,La République en Marche,LaREM,Oui
721976,Bruno,Millienne,Ile-de-France,Yvelines,9,Cadre supérieur (secteur privé),Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
719608,Emmanuelle,Ménard,Occitanie,Hérault,6,Journaliste et autre média,Non inscrit,NI,Oui
720586,Pierre,Vatin,Hauts-de-France,Oise,5,Permanent politique,Les Républicains,LR,Oui
642695,Éric,Bothorel,Bretagne,Côtes-d'Armor,5,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
588884,Clémentine,Autain,Ile-de-France,Seine-Saint-Denis,11,Journaliste et autre média,La France insoumise,FI,Oui
722358,Thomas,Gassilloud,Auvergne-Rhône-Alpes,Rhône,10,Industriel-Chef d'entreprise,Agir ensemble,Agir ens,Oui
720952,Aurélien,Taché,Ile-de-France,Val-d'Oise,10,Fonctionnaire de catégorie A,Non inscrit,NI,Oui
719866,Caroline,Abadie,Auvergne-Rhône-Alpes,Isère,8,Industriel-Chef entreprise,La République en Marche,LaREM,Oui
719600,Éric,Poulliat,Nouvelle-Aquitaine,Gironde,6,Fonctionnaire de catégorie B,La République en Marche,LaREM,Oui
720822,Bruno,Bilde,Hauts-de-France,Pas-de-Calais,12,Juriste,Non inscrit,NI,Oui
722000,Stéphane,Buchou,Pays de la Loire,Vendée,3,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
719488,Philippe,Berta,Occitanie,Gard,6,Professeur de faculté,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
720552,Isabelle,Rauch,Grand Est,Moselle,9,Consultante,La République en Marche,LaREM,Oui
721296,Guillaume,Gouffier-Cha,Ile-de-France,Val-de-Marne,6,Manager public,La République en Marche,LaREM,Oui
1630,Michel,Herbillon,Ile-de-France,Val-de-Marne,8,Cadre supérieur,Les Républicains,LR,Oui
267429,Dino,Cinieri,Auvergne-Rhône-Alpes,Loire,4,Consultant sécurité,Les Républicains,LR,Oui
721182,Frédéric,Petit,Français établis hors de France,Français établis hors de France,7,Ingénieur,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
722366,Jean-Luc,Fugit,Auvergne-Rhône-Alpes,Rhône,11,Professeur de faculté,La République en Marche,LaREM,Oui
720960,Olivier,Serva,Guadeloupe,Guadeloupe,1,Expert comptable,La République en Marche,LaREM,Oui
719874,Élodie,Jacquier-Laforge,Auvergne-Rhône-Alpes,Isère,9,Cadre supérieur (secteur privé),Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
719890,Danielle,Brulebois,Bourgogne-Franche-Comté,Jura,1,Retraitée de l'enseignement,La République en Marche,LaREM,Oui
719624,Bérangère,Couillard,Nouvelle-Aquitaine,Gironde,7,Autre cadre (secteur privé),La République en Marche,LaREM,Oui
720614,Marine,Le Pen,Hauts-de-France,Pas-de-Calais,11,Avocate,Non inscrit,NI,Oui
720630,Maxime,Minot,Hauts-de-France,Oise,7,Employé (secteur privé),Les Républicains,LR,Oui
